iter	RMSE
0	14.91359611
1	14.81956763
2	14.72259589
3	14.62445787
4	14.53083065
5	14.43542142
6	14.36300087
7	14.27153838
8	14.18405898
9	14.09043541
10	14.00504608
11	13.92129432
12	13.8308181
13	13.74337079
14	13.6521488
15	13.56413297
16	13.48373769
17	13.40066228
18	13.32207581
19	13.24451209
20	13.16104733
21	13.09615988
22	13.01204549
23	12.94679205
24	12.87524409
25	12.80010469
26	12.74168432
27	12.66959794
28	12.59798969
29	12.52033777
30	12.45141459
31	12.37773698
32	12.3086439
33	12.24713123
34	12.1823332
35	12.11094046
36	12.04034525
37	11.96856132
38	11.90863913
39	11.84083874
40	11.77217728
41	11.70552219
42	11.65120244
43	11.58571145
44	11.52302043
45	11.4629135
46	11.40177006
47	11.34559861
48	11.28107616
49	11.21872681
50	11.16444943
51	11.11079827
52	11.05225455
53	11.00094238
54	10.94453059
55	10.88625757
56	10.83091914
57	10.77560382
58	10.73303313
59	10.67599315
60	10.62081567
61	10.56717344
62	10.51966828
63	10.46536085
64	10.41550306
65	10.36110027
66	10.30919788
67	10.25870595
68	10.20765023
69	10.15749873
70	10.1099984
71	10.06012655
72	10.01959807
73	9.981432625
74	9.94219843
75	9.898431082
76	9.857293296
77	9.813070713
78	9.766940306
79	9.722118776
80	9.683691344
81	9.638020097
82	9.592689191
83	9.554466356
84	9.506883154
85	9.463070667
86	9.420832977
87	9.376417955
88	9.344025243
89	9.301092425
90	9.25774337
91	9.220526923
92	9.190098802
93	9.14737325
94	9.110616807
95	9.073004384
96	9.032934282
97	8.996015996
98	8.963583889
99	8.926880112
100	8.890399447
101	8.86344203
102	8.828573791
103	8.799586283
104	8.769488241
105	8.740081415
106	8.704323147
107	8.673919642
108	8.637113508
109	8.602892017
110	8.570612403
111	8.538254637
112	8.510688841
113	8.482843235
114	8.456957773
115	8.430177911
116	8.402447653
117	8.37431847
118	8.345975395
119	8.31812768
120	8.293762738
121	8.269601807
122	8.240022025
123	8.211015196
124	8.186027669
125	8.167647227
126	8.13949131
127	8.112818474
128	8.094444608
129	8.067499028
130	8.048131282
131	8.022470298
132	7.998024285
133	7.97182125
134	7.948317313
135	7.92378912
136	7.900364756
137	7.875165778
138	7.853323011
139	7.832475922
140	7.807616084
141	7.787540605
142	7.762827945
143	7.740530979
144	7.721824431
145	7.701301326
146	7.678841624
147	7.659285711
148	7.642940512
149	7.620259525
150	7.599192721
151	7.579182952
152	7.558723316
153	7.540958208
154	7.52085531
155	7.502491228
156	7.486497855
157	7.469114366
158	7.448457591
159	7.430283915
160	7.413454194
161	7.395888133
162	7.380080717
163	7.365127914
164	7.350061795
165	7.33515637
166	7.31904774
167	7.300703112
168	7.282066083
169	7.265988796
170	7.250355104
171	7.235493954
172	7.218145724
