iter	Passed	Remaining
0	0	630
1	1	575
2	1	573
3	2	563
4	2	547
5	3	545
6	3	538
7	4	522
8	4	516
9	5	502
10	5	508
11	6	505
12	6	498
13	6	491
14	7	486
15	7	482
16	8	478
17	8	475
18	9	470
19	9	468
20	9	465
21	10	464
22	10	465
23	11	459
24	11	457
25	12	454
26	12	450
27	12	449
28	13	449
29	13	449
30	14	450
31	14	450
32	15	450
33	15	451
34	16	450
35	16	448
36	17	446
37	17	446
38	18	445
39	18	443
40	18	443
41	19	441
42	19	440
43	20	439
44	20	439
45	21	437
46	21	440
47	22	439
48	22	438
49	23	437
50	23	436
51	23	437
52	24	437
53	24	437
54	25	435
55	25	435
56	26	434
57	26	433
58	27	433
59	27	433
60	28	433
61	28	433
62	28	431
63	29	430
64	29	429
65	30	429
66	30	428
67	31	428
68	31	426
69	32	425
70	32	425
71	32	424
72	33	424
73	33	424
74	34	424
75	34	423
76	35	422
77	35	421
78	36	420
79	36	419
80	36	418
81	37	418
82	37	417
83	38	418
84	38	418
85	39	418
86	39	418
87	40	418
88	40	417
89	41	417
90	41	416
91	42	416
92	42	416
93	43	416
94	43	415
95	44	415
96	44	414
97	44	413
98	45	413
99	46	414
100	46	413
101	47	415
102	47	414
103	47	413
104	48	412
105	48	412
106	49	412
107	49	412
108	50	411
109	50	410
110	51	409
111	51	408
112	52	408
113	52	408
114	52	407
115	53	406
116	53	405
117	54	405
118	54	404
119	55	404
120	55	404
121	56	403
122	56	403
123	57	402
124	57	402
125	58	402
126	58	401
127	58	401
128	59	400
129	59	399
130	60	398
131	60	398
132	60	397
133	61	396
134	61	395
135	62	394
136	62	394
137	63	394
138	63	393
139	63	392
140	64	392
141	64	391
142	65	391
143	65	390
144	66	390
145	66	389
146	67	388
147	67	388
148	67	387
149	68	386
150	68	386
151	69	386
152	69	385
153	70	384
154	70	384
155	71	384
156	71	384
157	72	384
158	72	383
159	73	383
160	73	382
161	73	382
162	74	382
163	74	381
164	75	381
165	75	380
166	76	380
167	77	381
168	77	381
169	78	380
170	78	380
171	78	379
172	79	378
173	79	378
174	80	377
175	80	377
176	81	376
177	81	376
178	81	375
179	82	374
180	82	374
181	83	374
182	83	374
183	84	373
184	84	372
185	85	372
186	85	371
187	85	371
188	86	370
189	86	370
190	87	369
191	87	369
192	88	368
193	88	368
194	89	367
195	89	367
196	90	367
197	90	366
198	91	366
199	91	365
200	91	365
201	92	364
202	92	363
203	93	363
204	93	362
205	94	362
206	94	361
207	94	361
208	95	360
209	95	360
210	96	359
211	96	359
212	97	358
213	97	358
214	97	357
215	98	356
216	98	356
217	99	355
218	99	355
219	100	355
220	100	354
221	101	354
222	101	353
223	102	353
224	102	353
225	103	353
226	103	352
227	104	352
228	104	352
229	105	351
230	105	351
231	105	350
232	106	349
233	106	349
234	107	349
235	107	348
236	108	348
237	108	347
238	109	347
239	109	346
240	109	346
241	110	345
242	110	344
243	111	344
244	111	343
245	111	343
246	112	342
247	112	342
248	113	341
249	113	341
250	114	340
251	114	340
252	115	339
253	115	339
254	116	338
255	116	338
256	116	338
257	117	337
258	117	336
259	118	336
260	118	335
261	119	335
262	119	335
263	120	334
264	120	334
265	120	333
266	121	333
267	121	333
268	122	332
269	122	331
270	123	331
271	123	330
272	124	330
273	124	329
274	124	329
275	125	329
276	125	328
277	126	327
278	126	327
279	127	326
280	127	326
281	127	325
282	128	325
283	129	325
284	129	325
285	130	324
286	130	324
287	130	323
288	131	323
289	131	322
290	132	322
291	132	322
292	133	321
293	133	320
294	134	320
295	134	319
296	134	319
297	135	319
298	135	318
299	136	318
300	136	317
301	137	317
302	137	317
303	138	316
304	138	315
305	139	315
306	139	314
307	139	314
308	140	314
309	141	313
310	141	313
311	142	313
312	142	313
313	143	312
314	143	312
315	144	311
316	144	311
317	145	311
318	145	310
319	145	310
320	146	309
321	146	309
322	147	308
323	147	308
324	148	307
325	148	307
326	149	306
327	149	306
328	150	305
329	150	305
330	150	304
331	151	304
332	151	304
333	152	303
334	152	303
335	153	302
336	153	302
337	154	301
338	154	301
339	155	301
340	155	300
341	156	300
342	156	299
343	157	299
344	157	299
345	158	298
346	158	298
347	158	297
348	159	297
349	159	297
350	160	296
351	160	296
352	161	295
353	161	295
354	162	294
355	162	294
356	163	293
357	163	293
358	164	292
359	164	292
360	164	291
361	165	291
362	165	290
363	166	290
364	166	289
365	167	289
366	167	288
367	168	288
368	168	288
369	168	287
370	169	287
371	169	286
372	170	286
373	170	285
374	171	285
375	171	285
376	172	284
377	172	284
378	173	283
379	173	283
380	174	283
381	174	282
382	175	282
383	175	281
384	176	281
385	176	280
386	176	280
387	177	279
388	177	279
389	178	278
390	178	278
391	178	277
392	179	277
393	179	276
394	180	276
395	180	275
396	181	275
397	181	274
398	182	274
399	182	273
400	182	273
401	183	272
402	183	272
403	184	272
404	184	271
405	185	271
406	185	270
407	186	270
408	186	269
409	187	269
410	187	268
411	188	268
412	188	267
413	188	267
414	189	266
415	189	266
416	190	265
417	190	265
418	191	264
419	191	264
420	191	264
421	192	263
422	192	263
423	193	262
424	193	262
425	194	261
426	194	261
427	194	260
428	195	260
429	195	259
430	196	259
431	196	258
432	197	258
433	198	258
434	198	257
435	199	257
436	199	256
437	199	256
438	200	256
439	200	255
440	201	255
441	201	254
442	202	254
443	202	253
444	203	253
445	203	252
446	204	252
447	204	252
448	205	251
449	205	251
450	206	250
451	206	250
452	206	249
453	207	249
454	208	249
455	208	248
456	209	248
457	209	247
458	209	247
459	210	246
460	210	246
461	211	245
462	211	245
463	212	245
464	212	244
465	213	244
466	213	243
467	214	243
468	214	243
469	215	242
470	215	242
471	215	241
472	216	241
473	217	240
474	217	240
475	218	240
476	218	239
477	218	239
478	219	238
479	219	238
480	220	237
481	220	237
482	221	236
483	221	236
484	222	235
485	222	235
486	223	235
487	223	234
488	224	234
489	224	233
490	224	233
491	225	232
492	225	232
493	226	231
494	226	231
495	227	231
496	227	230
497	228	230
498	228	229
499	229	229
500	229	228
501	230	228
502	230	227
503	231	227
504	231	227
505	232	226
506	232	226
507	232	225
508	233	225
509	233	224
510	234	224
511	234	223
512	235	223
513	235	222
514	236	222
515	236	221
516	237	221
517	237	221
518	237	220
519	238	220
520	238	219
521	239	219
522	239	218
523	240	218
524	240	217
525	240	217
526	241	216
527	242	216
528	242	215
529	242	215
530	243	214
531	243	214
532	244	214
533	244	213
534	245	213
535	245	212
536	246	212
537	246	211
538	247	211
539	247	210
540	247	210
541	248	209
542	248	209
543	249	208
544	249	208
545	250	207
546	250	207
547	251	207
548	251	206
549	252	206
550	252	205
551	253	205
552	253	204
553	253	204
554	254	203
555	254	203
556	255	202
557	255	202
558	256	202
559	256	201
560	256	201
561	257	200
562	257	200
563	258	199
564	258	199
565	259	198
566	259	198
567	260	197
568	260	197
569	261	196
570	261	196
571	262	196
572	262	195
573	262	195
574	263	194
575	263	194
576	264	193
577	264	193
578	265	192
579	265	192
580	266	192
581	266	191
582	267	191
583	267	190
584	267	190
585	268	189
586	268	189
587	269	188
588	269	188
589	270	187
590	270	187
591	271	186
592	271	186
593	272	186
594	272	185
595	273	185
596	273	184
597	273	184
598	274	183
599	274	183
600	275	182
601	275	182
602	276	181
603	276	181
604	276	180
605	277	180
606	277	179
607	278	179
608	278	178
609	279	178
610	279	177
611	280	177
612	280	177
613	280	176
614	281	176
615	281	175
616	282	175
617	282	174
618	283	174
619	283	173
620	284	173
621	284	172
622	285	172
623	285	172
624	285	171
625	286	171
626	286	170
627	287	170
628	287	169
629	288	169
630	288	168
631	289	168
632	289	167
633	290	167
634	290	167
635	291	166
636	291	166
